,slov_word,pos,gen,germ_word,les,pos_freq
12,"čigáv -a, -o",Interrogativpronom ,,wessen,les3,2
18,"káj, čésa",Fragepronomen ,,was,les3,2
19,kakó,Fragepronomen ,,wie,les3,2
20,"kákšen -šna, -o",Interrogativpronom ,,"wie, was für ein",les3,2
58,"tá, tá, tó",Demonstrativpronomen ,,das,les3,2
72,do,"Präposition, Gen. ",,nach,les13,4
79,"iti, gre","Verb, impf/pf ",,gehen,les13,3
80,iz,"Präposition, Gen. ",,"aus, von",les13,4
90,lahko,Modalwort ,,"können, kann",les13,1
96,o,"Präposition, Lok. ",,über,les13,1
98,"organizirati, -a","Verb, impf/pf ",,organisieren,les13,3
99,pa,Partikel ,,denn,les13,2
112,"ta, ta, to","Demonstrativpronomen, m/f/n ",,"dieser, diese, dieses",les13,1
115,v,"Präposition, Akk. ",,in,les13,1
122,zraven,"Präposition, Gen. ",,"daneben, mit-",les13,4
125,alkoholne pijače,Substantiv /pl ,f ,alkoholische Getränke,les5,3
128,bi,"Partikel, (Konditionalmorphem) ",,würde,les5,1
130,(-ih/-ø),Substantiv /pl ,f ,alkoholfreie Getränke,les5,3
141,"izvóli, -ta, -te",Imperativ ,,bitte!,les5,2
142,"izvóliti, -i","Verb, pf und impf ",,wählen,les5,1
164,lahkó,Modalausdruck ,,können Sie/ kannst du?,les5,1
212,topli napitki,Substantiv /pl ,m ,Heisse Getränke,les5,3
217,Zlatorog pivo,Substantiv (Eigennamen) ,n ,in Slowenien produzierte Biermarken,les5,1
223,z ali brez,Redewendung ,,mit oder ohne (Sahne),les5,1
250,na,Präposition +Akk ,,"auf, an",les7,1
260,"praviti, -i","Verb, impf / pf ",,sagen,les7,2
277,vsi,Pronom ,,alle,les7,1
278,za,Präposition (+Akk) ,,"für, hinter",les7,1
291,kaj (česa),Pronomen ,,etwas,les11,4
329,"izvoli, -ta, -te",Imperativ ,,bitte!,les15,2
330,"izvolíti, -m","Verb, pf, impf ",,wählen,les15,1
340,"počítnice, (-Ø)","Substantiv, f, PL ",,Ferien,les15,1
355,še (še danes),Partikel ,,noch (noch heute),les15,2
461,ob,Präposition + Lok ,,neben,les8,2
463,po,Präposition +Lok ,,"auf, herum",les8,1
466,pri,Präposition + Lok ,,bei,les8,2
475,"tisti, -a, -o",Demonstrativpronomen ,,"dieser, diese, dieses",les8,2
479,"vídeti, -i","Verb, impf / pf ",,sehen,les8,2
494,čez,Präposition,,,les6,4
506,krùh (krúha),Substantiv/Sg ,m ,Brot,les6,1
508,ládjica (-e),Substantiv/Diminutiv ,f ,Boot,les6,1
516,nad,Präposition,,,les6,4
528,pod,Präposition,,,les6,4
537,pred,Präposition,,,les6,4
544,"sam, -a, -o",Pronomen ,,"er, sie, es selbst",les6,4
610,"nék -a, -o",Pronomen ,,"ein (gewisser), eine (gewisse), ein (gewisses)",les9,4
637,"prikazan-a, -o",Partizip ,,dargestellt,les9,1
667,"videti, vidi","Verb, imp und pf ",,sehen,les9,1
684,bôlj,"Adverb, Komparativ ",,mehr,les2,1
757,z,Präposition (+Gen) ,,aus,les2,1
772,"kaj, česa",Indefinitpronomen ,,(et)was,les10,2
778,"nič, ničesar",Indefinitpronomen ,,nichts,les10,2
796,"štirje, štiri",Numerale ,,vier,les10,1
833,izmed,"Präposition, Gen ",,unter,les14,2
895,"vedeti, ve",Verb/impf ,,wissen,les14,1
898,"vsi, vse, vsa",Pronomen / Pl ,,alle,les14,1
931,"moj, -a, -e",Possesivpronomen ,,"mein, meine, mein",les12,3
935,"njegov, -a, -o",Possesivpronomen ,,"sein, seine, sein",les12,3
936,"njen, -a, -o",Possesivpronomen ,,"ihr, ihre, ihre",les12,3
937,od,"Präposition, Gen. ",,von,les12,4
953,"roditi se, -i se","Verb, impf/pf ",,geboren werden,les12,3
961,"vsi, vseh / vse, vseh",Pronomen ,,alle,les12,4
978,"držávna nagráda, -e, -e",Adjektiv/Substantiv ,f ,Staatspreis,les16,1
986,póleg,"Präposition, Gen ",,neben,les16,2
