Substantiv ,397
Adjektiv ,123
Adverb ,85
"Verb, pf ",65
"Verb, impf ",55
"Substantiv, m ",16
"Substantiv, f ",16
"Verb, imp ",11
Konjunktion ,11
Interjektion ,10
"Substantiv, Sg ",10
"Substantiv, n ",6
"Substantiv, pl ",6
Interrogativpronomen ,5
Possessivpronomen ,5
"Verb, pf / impf ",5
Pronomen ,4
"Präposition, Gen. ",4
Präposition,4
Possesivpronomen ,3
Substantiv /pl ,3
"Verb, impf/pf ",3
Fragepronomen ,2
Interrogativpronom ,2
Partikel ,2
Präposition + Lok ,2
Imperativ ,2
"Präposition, Gen ",2
"Verb, impf / pf ",2
Indefinitpronomen ,2
Demonstrativpronomen ,2
"Verb, pf, impf ",1
"Präposition, Akk. ",1
"Verb, imp und pf ",1
"Substantiv, f, PL ",1
Substantiv/Diminutiv ,1
Modalausdruck ,1
"Demonstrativpronomen, m/f/n ",1
Substantiv (Eigennamen) ,1
Verb/impf ,1
"Präposition, Lok. ",1
"Partikel, (Konditionalmorphem) ",1
Präposition +Lok ,1
Modalwort ,1
Präposition (+Gen) ,1
Redewendung ,1
Präposition +Akk ,1
Präposition (+Akk) ,1
Adjektiv/Substantiv ,1
Numerale ,1
Partizip ,1
"Verb, pf und impf ",1
Substantiv/Sg ,1
Pronom ,1
Pronomen / Pl ,1
"Adverb, Komparativ ",1
