apríl (-a) 	Substantiv 	m 	April
arhitékt (-a) 	Substantiv 	m 	Architekt
ávto (-a) 	Substantiv 	m 	Auto
banána (-e) 	Substantiv 	f 	Banane
bánka (-e) 	Substantiv 	f 	Bank
beséda (-e) 	Substantiv 	f 	Wort
besedíšče (-a) 	Substantiv 	n 	Vokabelliste
biologíja (-e) 	Substantiv 	f 	Biologie
cénter (-tra) 	Substantiv 	m 	Zentrum
cigaréta (-e) 	Substantiv 	f 	Zigarette
cílj (-a) 	Substantiv 	m 	Ziel
Čéh (-a) 	Substantiv 	m 	Tscheche
číps (-a) 	Substantiv 	m 	Kartoffelchips
čokoláda (-e) 	Substantiv 	f 	Schokolade
decêmber (-bra) 	Substantiv 	m 	Dezember
diplóma (-e) 	Substantiv 	f 	Diplom
dísko (-a) 	Substantiv 	m 	Disko
ekonomíja (-e) 	Substantiv 	f 	Ökonomie
évro (-a) 	Substantiv 	m 	Euro
Evrópa (-e) 	Substantiv 	f 	Europa
fakultéta (-e) 	Substantiv 	f 	Fakultät
fébruar (-ja) 	Substantiv 	m 	Februar
filozofíja (-e) 	Substantiv 	f 	Philosophie
galeríja (-e) 	Substantiv 	f 	Galerie
garáža (-e) 	Substantiv 	f 	Garage
geografíja (-e) 	Substantiv 	f 	Geographie
haló 	Interjektion 		Hallo
hóbi (-ja) 	Substantiv 	m 	Hobby
hotél (-a) 	Substantiv 	m 	Hotel
idêja (-e) 	Substantiv 	f 	Idee
ínternét (-a) 	Substantiv 	f 	Internet
inženír (-ja) 	Substantiv 	m 	Ingenieur
izgovarjáva (-e) 	Substantiv 	f 	Aussprache
jánuar (-ja) 	Substantiv 	m 	Januar
jógurt (-a) 	Substantiv 	m 	Joghurt
júnij (-a) 	Substantiv 	m 	Juni
kapučíno (-a) 	Substantiv 	m 	Cappuccino
kárta (-e) 	Substantiv 	f 	Karte
kíno (-a) 	Substantiv 	m 	Kino
lékcija (-e) 	Substantiv 	f 	Lektion
léktor (-ja) 	Substantiv 	m 	Lektor, Sprachlehrer
limóna (-e) 	Substantiv 	f 	Zitrone
literatúra (-e) 	Substantiv 	f 	Literatur
máj (-a) 	Substantiv 	m 	Mai
máma (-e) 	Substantiv 	f 	Mama
muzêj (-a) 	Substantiv 	m 	Museum
nervózen -zna, -o 	Adjektiv 		nervös
nòv, nôva, nôvo 	Adjektiv 		neu
novêmber (-bra) 	Substantiv 	m 	November
október (-bra) 	Substantiv 	m 	Oktober
ópera (-e) 	Substantiv 	f 	Oper
organizácija (-e) 	Substantiv 	f 	Organisation
papír (-ja) 	Substantiv 	m 	Papier
píca (-e) 	Substantiv 	f 	Pizza
profésor (-ja) 	Substantiv 	m 	Professor
rádio (-a) 	Substantiv 	m 	Radio
repúblika (-e) 	Substantiv 	f 	Republik
Rús (-a) 	Substantiv 	m 	Russe
séndvič (-a) 	Substantiv 	m 	Sandwich
septêmber (-bra) 	Substantiv 	m 	September
Slovénija (-e) 	Substantiv 	f 	Slowenien
slovénski -a, -o 	Adjektiv 		slowenisch
šampón (-a) 	Substantiv 	m 	Shampoo
špórt (-a) 	Substantiv 	m 	Sport
študènt (-a) 	Substantiv 	m 	Student
telefón (-a) 	Substantiv 	m 	Telefon
tést (-a) 	Substantiv 	m 	Test
turíst (-a) 	Substantiv 	m 	Turist
uníja (-e) 	Substantiv 	f 	Union
univêrza (-e) 	Substantiv 	f 	Universität
úra (-e) 	Substantiv 	f 	Uhr, Stunde
vegetarijánec (-nca) 	Substantiv 	m 	Vegetarier
víno (-a) 	Substantiv 	n 	Wein
víza (-e) 	Substantiv 	f 	Visa
zébra (-e) 	Substantiv 	f 	Zebra
Zimbabve (-ja) 	Substantiv 	m 	Simbabwe
zófa (-e) 	Substantiv 	f 	Sofa
žargón (-a) 	Substantiv 	m 	Jargon
