agéncija (-e) 	Substantiv, f 		Agentur
cél, -a, -o 	Adjektiv 		ganz
dáti, -a 	Verb, pf 		geben
dodáti, -á 	Verb, pf 		hinzufügen
fižôl (fižóla) 	Substantiv, m 		Bohne
gotôvo 	Adverb 		fertig
hladílnik (-a) 	Substantiv, m 		Kühlschrank
internét (-a) 	Substantiv, m 		Internet
iti po (+Akk) 			holen
izvoli, -ta, -te 	Imperativ 		bitte!
izvolíti, -m 	Verb, pf, impf 		wählen
katalóg (-a) 	Substantiv, m 		Katalog
kísel, -la, -lo 	Adjektiv 		sauer
krompír (-ja) 	Substantiv, m 		Kartoffel
nájti, nájde 	Verb, pf 		finden
naredíti, -í 	Verb, pf 		machen, tun
nató 	Adverb 		danach, anschließend
ne imeti, níma 	Verb, impf 		nicht haben
odcedíti, -í 	Verb, impf 		abtropfen
olúpljen, -a, -o 	Adjektiv 		geschält
počítnice, (-Ø) 	Substantiv, f, PL 		Ferien
pobrskati, -a 	Verb, pf 		stöbern;
hier: im Internet surfen
poglédati, -m 	Verb, pf 		anschauen
poklícati, poklíče 	Verb, pf 		anrufen
polétje, (-a) 	Substantiv, n 		Sommer
ponújati, -a 	Verb, impf 		anbieten
posébej 	Adverb 		besonders
posolíti, -í 	Verb, pf 		salzen
potrebováti, potrebúje 	Verb, impf 		benötigen, brauchen
právi, -a, -o 	Adjektiv 		richtig, echt
predávanje, (-a) 	Substantiv, n 		Vorlesung
pripráviti, -i 	Verb, pf 		zubereiten
skúhati, -a 	Verb, pf 		kochen
skúpaj 	Adverb 		zusammen, gemeinsam
še (še danes) 	Partikel 		noch (noch heute)
tja 	Adverb 		dorthin, hin
turístičen, -a, -o 	Adjektiv 		touristisch
vzéti, vzáme, vzemi! 	Verb, pf 		nehmen
zanimívo 	Adverb 		interessant
zélje, (-a) 	Substantiv, m 		Kohl, Sauerkraut
zméšati, -a 	Verb, pf 		zusammen mischen
zvečér 	Adverb 		am Abend, abends
