alkoholne pijače 	Substantiv /pl 	f 	alkoholische Getränke
bela kava 	Substantiv 	f 	Milchkaffee
belo vino 	Substantiv 	n 	Weißwein
bi 	Partikel, (Konditionalmorphem) 		würde
brezalkoholne pijače
(-ih/-ø) 	Substantiv /pl 	f 	alkoholfreie Getränke
cmok (-a) 	Substantiv 	m 	Knödel
čaj (-a) 	Substantiv 	m 	Tee
čevapčiči 	Substantiv, pl 	m 	Cevapcici
ekspreso (-a) 	Substantiv 	m 	Espresso
enolončnica (-e) 	Substantiv 	f 	Eintopf
gibanica (-e) 	Substantiv 	f 	Strudelähnliche Süßspeise mit Mohn, Quark und Äpfel
golaž (-a) 	Substantiv 	m 	Gulasch
goveja juha 	Substantiv 	f 	Rinderbrühe
hvála 	Interjektion 		Danke
iméti, imà 	Verb, impf 		haben
izvóli, -ta, -te 	Imperativ 		bitte!
izvóliti, -i 	Verb, pf und impf 		wählen
jabolčni sok 	Substantiv 	m 	Apfelsaft
jabolčni zavitek 	Substantiv 	m 	Apfelstrudel
jedi 	Substantiv, pl 	f 	Speisen
jota (-e) 	Substantiv 	f 	Eintopf aus sauren Rüben
juha (-e) 	Substantiv 	f 	Suppe
kakav (-a) 	Substantiv 	m 	Kakao
kamilični čaj 	Substantiv 	m 	Kamillentee
kapučino (-a) 	Substantiv 	m 	Cappuccino
kava (-e) 	Substantiv 	f 	Kaffee
kava s smetano 	Substantiv 	f 	Kaffee mit Sahne
kisla repa (-e, -e) 	Substantiv 	f 	Navette-Rübchen (saure Rüben - wird wie Sauerkraut zubereitet)
kislo zelje (-ega, -a) 	Substantiv 	n 	Sauerkraut
kokakola (-e) 	Substantiv 	f 	Coca Cola
kokta (-e) 	Substantiv 	f 	slowenische Cola
kotlet (-a) 	Substantiv 	m 	Kotelett
kranjska klobasa (-e, -e) 	Substantiv 	f 	Krainer Wurst
kremna rezina oder
kremšnita (-e) 	Substantiv 	f 	Cremeschnitte
krompir (-ja) 	Substantiv 	m 	Kartoffel
kruh (-a) 	Substantiv 	m 	Brot
láčen -čna, -o 	Adjektiv 		hungrig
lahkó 	Modalausdruck 		können Sie/ kannst du?
ledena kava 	Substantiv 	f 	Eiskaffee
ledeni čaj 	Substantiv 	m 	Eistee
limonada (-e) 	Substantiv 	f 	Limonade
lipov čaj 	Substantiv 	m 	Lindenblütentee
mŕzel -zla, -o 	Adjektiv 		kalt
malo pivo 	Substantiv 	n 	kleines Bier
mešana solata 	Substantiv 	f 	Gemischter Salat
mineralna voda 	Substantiv 	f 	Mineralwasser
mleko (-a) 	Substantiv 	n 	Milch
palačinka (-e) 	Substantiv 	f 	Palatschinken
pečen krompir 	Substantiv 	m 	Ofenkartoffel
pica (-e) 	Substantiv 	f 	Pizza
PIJAČE
pijača(-e) 	
Substantiv 	
f 	
Getränk
pire (-ja) 	Substantiv 	m 	Püree
pivo (-a) 	Substantiv 	n 	Bier
pláčati, -a 	Verb, pf 		zahlen
pomarančni sok 	Substantiv 	m 	Orangensaft
pomfri (-ja) 	Substantiv 	m 	Pommes
potica (-e) 	Substantiv 	f 	Hefestrudel mit verschiedenen Füllungen, z.B. Walnuss, Estragon, Mohn
pràv 	Adverb 		in Ordnung
pravi čaj 	Substantiv 	m 	schwarzer Tee
prosíti, prósi 	Verb, impf 		bitten
pršut (-a) 	Substantiv 	m 	Parmaschinken
radenska (-e) 	Substantiv 	f 	Mineralwassermarke, auch Synonym für Mineralwasser
rdeče vino 	Substantiv 	n 	Rotwein
ričet (-a) 	Substantiv 	m 	Gerstengraupensuppe
rižota (-e) 	Substantiv 	f 	Risotto
rum (-a) 	Substantiv 	m 	Rum
sadni čaj 	Substantiv 	m 	Früchtetee
sendvič (-a) 	Substantiv 	m 	Sandwich
sevéda 	Adverb 		natürlich
sirov zavitek 	Substantiv 	m 	Topfenstrudel
sladice 	Substantiv, pl 	f 	Nachspeisen
sladoled (-a) 	Substantiv 	m 	Eiscreme
sok (-a) 	Substantiv 	m 	Saft
sók (-a) 	Substantiv 	m 	Saft
solata (-e) 	Substantiv 	f 	Salat
svetlo pivo 	Substantiv 	n 	helles Bier
špageti 	Substantiv, pl 	m 	Spaghetti
štrukelj (-klja) 	Substantiv 	m 	Teigrolle mit süßer oder herzhafter Füllung
takój 	Adverb 		sofort
temno pivo 	Substantiv 	n 	dunkles Bier
točeno pivo 	Substantiv 	n 	gezapftes Bier
topli napitki 	Substantiv /pl 	m 	Heisse Getränke
torta (-e) 	Substantiv 	f 	Torte
tradicionalne slovenske jedi 			Traditionelle slowenische Gerichte
túkaj 	Adverb 		hier
Union pivo,
Zlatorog pivo 	Substantiv (Eigennamen) 	n 	in Slowenien produzierte Biermarken
veliko pivo 	Substantiv 	n 	großes Bier
vino (-a) 	Substantiv 	n 	Wein
vôda (-e) 	Substantiv 	f 	Wasser
vroča čokolada (-e/-e) 	Substantiv 	f 	Heiße Schokolade (sehr dickflüssig)
vsè 	Adverb 		alles
z ali brez 	Redewendung 		mit oder ohne (Sahne)
zapréti, -è 	Verb, pf 		zumachen
zavitek (-tka) 	Substantiv 	m 	Strudel
zelena solata 	Substantiv 	f 	Grüner Salat
zeleni čaj 	Substantiv 	m 	grüner Tee
zelenjavna juha 	Substantiv 	f 	Gemüsesuppe
zelenjavni krožnik
(-ega -a) 	Substantiv 	m 	Gemüseteller
zrezek (-zka) 	Substantiv 	m 	Schnitzel
žàl 	Adverb 		leider
žganci 	Substantiv, pl 	m 	Getreidebrei
